outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,brier,y_mean,y_std,r2,mse,rmse,mae
0,3,train,w_reg,regression,xgb_reg,3739,,,,,,0.047445841133993055,0.16180488466565704,0.7044282707998584,0.007736240826331679,0.08795590273729034,0.044893502422798236
0,4,val,y,binary,sparse_logistic,4957,123.0,4834.0,0.7132775630611086,0.17998964024787356,0.1327603343778724,,,,,,
0,4,train,y,binary,sparse_logistic,19830,490.0,19340.0,0.9210223603402065,0.25568726029975697,0.12158261286132643,,,,,,
0,4,val,y,binary,xgb_clf,4957,123.0,4834.0,0.826616850156917,0.2565442809833441,0.06500457211572902,,,,,,
0,4,train,y,binary,xgb_clf,19830,490.0,19340.0,0.9862706033809594,0.6500640899794156,0.05295688129196929,,,,,,
0,4,val,w_reg,regression,linreg,899,,,,,,0.05116796440489433,0.17040719488433043,-0.010270849999368448,0.029304230523678334,0.17118478473181645,0.08260281396571865
0,4,train,w_reg,regression,linreg,3818,,,,,,0.045882661079099,0.15648439489441487,0.05984248085177457,0.023015951270132486,0.15171008954625426,0.07505964979193733
0,4,val,w_reg,regression,xgb_reg,899,,,,,,0.05116796440489433,0.17040719488433043,-0.08866904820265109,0.031578273046820975,0.17770276600779453,0.08560469314172653
0,4,train,w_reg,regression,xgb_reg,3818,,,,,,0.045882661079099,0.15648439489441487,0.7057347527914726,0.007203893445835597,0.08487575299127305,0.04344781646375815
1,-1,test,y,binary,sparse_logistic,2755,69.0,2686.0,0.6943491210463271,0.21913132438955676,0.13304572642050133,,,,,,
1,-1,train,y,binary,sparse_logistic,24787,613.0,24174.0,0.9088040472209975,0.24119812279364553,0.12701714745908932,,,,,,
1,-1,test,y,binary,xgb_clf,2755,69.0,2686.0,0.8387532778659068,0.35659043921649525,0.06604102174980672,,,,,,
1,-1,train,y,binary,xgb_clf,24787,613.0,24174.0,0.9826499180560296,0.5875650603320275,0.05732067856986855,,,,,,
1,-1,test,w_reg,regression,linreg,534,,,,,,0.04644194756554308,0.1667852969321568,0.020926178446488697,0.02718422245738333,0.16487638538427304,0.07983138973500287
1,-1,train,w_reg,regression,linreg,4716,,,,,,0.048015267175572515,0.159798005381863,0.04811050207898193,0.024301727356867676,0.15589011308247766,0.07847477096655074
1,-1,test,w_reg,regression,xgb_reg,534,,,,,,0.04644194756554308,0.1667852969321568,-0.10119168986814153,0.03057485473168821,0.17485666910841063,0.08386956200712252
1,-1,train,w_reg,regression,xgb_reg,4716,,,,,,0.048015267175572515,0.159798005381863,0.6521949145121655,0.008879459621434679,0.09423088464741632,0.048895469439368566
1,0,val,y,binary,sparse_logistic,4958,123.0,4835.0,0.7124574368804701,0.16994362551150144,0.12783188381289998,,,,,,
1,0,train,y,binary,sparse_logistic,19829,490.0,19339.0,0.9199817752221112,0.24146511014811042,0.12325608732756337,,,,,,
